"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"b3567393166ae3c1ba89fe4d119ac201"	"Eukaryota_Cnidaria_Hydrozoa"	"179_Lych"	5435	"RUN2"	"17nine"	"Custom"	"Eukaryota(91.76);environmental samples(91.76);uncultured eukaryote(91.76);"	"Eukaryota	environmental samples	uncultured eukaryote"
"4c68d6a90252c210ee00a4a40a8205bf"	"Eukaryota_Cnidaria_Hydrozoa"	"179_Lych"	5179	"RUN2"	"17nine"	"Custom"	"Eukaryota(91.76);environmental samples(91.76);uncultured eukaryote(91.76);"	"Eukaryota	environmental samples	uncultured eukaryote"
"67e443802a8db1da9c68671d053ed069"	"Eukaryota_Cnidaria_Hydrozoa"	"179_Lych"	13	"RUN2"	"17nine"	"Custom"	"Eukaryota(90.98);environmental samples(90.98);uncultured eukaryote(90.98);"	"Eukaryota	environmental samples	uncultured eukaryote"
"b3567393166ae3c1ba89fe4d119ac201"	"Eukaryota_Cnidaria_Hydrozoa"	"180_Reso"	28209	"RUN2"	"17nine"	"Custom"	"Eukaryota(91.76);environmental samples(91.76);uncultured eukaryote(91.76);"	"Eukaryota	environmental samples	uncultured eukaryote"
"4c68d6a90252c210ee00a4a40a8205bf"	"Eukaryota_Cnidaria_Hydrozoa"	"180_Reso"	21224	"RUN2"	"17nine"	"Custom"	"Eukaryota(91.76);environmental samples(91.76);uncultured eukaryote(91.76);"	"Eukaryota	environmental samples	uncultured eukaryote"
"62b00c7b34758af6e9515dcdef68d0de"	"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae"	"180_Reso"	4071	"RUN2"	"17nine"	"Custom"	"Eukaryota(90.46);environmental samples(90.46);uncultured eukaryote(90.46);"	"Eukaryota	environmental samples	uncultured eukaryote"
"5248a408aaeba4c21a1dc6f36208ae53"	"Eukaryota_Cnidaria_Hydrozoa"	"180_Reso"	23	"RUN2"	"17nine"	"Custom"	"Eukaryota(90.98);environmental samples(90.98);uncultured eukaryote(90.98);"	"Eukaryota	environmental samples	uncultured eukaryote"
"3c5961fd41fecb51b179ee7ff71861ba"	"Eukaryota_Cnidaria_Hydrozoa"	"180_Reso"	1	"RUN2"	"17nine"	"Custom"	"Eukaryota(92.10);environmental samples(92.10);uncultured eukaryote(92.10);"	"Eukaryota	environmental samples	uncultured eukaryote"
"b3567393166ae3c1ba89fe4d119ac201"	"Eukaryota_Cnidaria_Hydrozoa"	"185_Barg"	5599	"RUN2"	"17nine"	"Custom"	"Eukaryota(91.76);environmental samples(91.76);uncultured eukaryote(91.76);"	"Eukaryota	environmental samples	uncultured eukaryote"
"4c68d6a90252c210ee00a4a40a8205bf"	"Eukaryota_Cnidaria_Hydrozoa"	"185_Barg"	5507	"RUN2"	"17nine"	"Custom"	"Eukaryota(91.76);environmental samples(91.76);uncultured eukaryote(91.76);"	"Eukaryota	environmental samples	uncultured eukaryote"
