"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"d06a46a10d269fc798baa6da556eb77f"	"Eukaryota"	"24_Nano"	212363	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(91.00);SAR(18.31);Stramenopiles(18.31);Ochrophyta(18.31);Bacillariophyceae(18.31);Pleurosigma(18.31);uncultured stramenopile(18.31);"	"Eukaryota;"
"5aa493c42de34fac5d6a9c07a945b41d"	"Eukaryota"	"24_Nano"	203752	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(91.00);SAR(18.31);Stramenopiles(18.31);Ochrophyta(18.31);Bacillariophyceae(18.31);Pleurosigma(18.31);uncultured stramenopile(18.31);"	"Eukaryota;"
"84777292b376f24215680c71d8dc2660"	"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea"	"24_Nano"	2436	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(90.68);Bilateria(72.66);Protostomia(72.66);Ecdysozoa(72.66);Arthropoda(72.66);Crustacea(72.66);Euchaeta concinna(18.31);"	"Eukaryota;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Crustacea;"
"7f3a6e74f831227cd291f244ba0fd557"	"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea"	"24_Nano"	2732	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(90.68);Bilateria(72.66);Protostomia(72.66);Ecdysozoa(72.66);Arthropoda(72.66);Crustacea(72.66);Euchaeta concinna(18.31);"	"Eukaryota;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Crustacea;"
"f7ddef4c0b2224b1307f680dcf8c1324"	"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(90.04);SAR(90.04);Alveolata(90.04);Syndiniales(90.04);Syndiniales Group I(90.04);uncultured eukaryote(90.04);uncultured eukaryote(90.04);"	"Eukaryota;SAR;Alveolata;Syndiniales;Syndiniales Group I;uncultured eukaryote;uncultured eukaryote;"
"52ebe510807b1dba3702185c34341103"	"Eukaryota"	"24_Nano"	2	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(91.56);Basidiomycota(54.94);Ustilaginomycotina(54.94);Malasseziales(54.94);Malasseziaceae(54.94);Malassezia(54.94);uncultured eukaryote(54.94);"	"Eukaryota;"
"404b7f94405d0fb32c7d0cea6b8ec967"	"Eukaryota"	"24_Nano"	66	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(85.12);Cnidaria(34.66);Hydrozoa(34.66);Hydroidolina(34.66);Siphonophorae(34.66);hydrothermal vent metagenome(17.77);hydrothermal vent metagenome(17.77);"	"Eukaryota;"
"600541f248a9a053ad1129eeb7e34b6a"	"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata"	"24_Nano"	6	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(88.99);Bilateria(88.99);Deuterostomia(88.99);Chordata(88.99);Tunicata(88.99);Thaliacea(54.34);Thalia democratica(36.47);"	"Eukaryota;Bilateria;Deuterostomia;Chordata;Tunicata;"
"2fd7abd8624b413e5eb0464ae2a8a688"	"Eukaryota"	"24_Nano"	42	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(85.12);Cnidaria(34.66);Hydrozoa(34.66);Hydroidolina(34.66);Siphonophorae(34.66);hydrothermal vent metagenome(17.77);hydrothermal vent metagenome(17.77);"	"Eukaryota;"
"9982d4f49252440e316aa1785021b6f7"	"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata"	"24_Nano"	4	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(88.99);Bilateria(88.99);Deuterostomia(88.99);Chordata(88.99);Tunicata(88.99);Thaliacea(54.34);Thalia democratica(36.47);"	"Eukaryota;Bilateria;Deuterostomia;Chordata;Tunicata;"
"b04cbde41c655e8dcec4d8ee1e1dbcf9"	"Eukaryota"	"24_Nano"	4	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(72.27);Ascomycota(18.07);Pezizomycotina(18.07);Sordariomycetes(18.07);metagenome(18.07);(0);metagenome(36.15);"	"Eukaryota;"
"57084fc794a815d207dfedd28aeb9b42"	"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Annelida_Polychaeta"	"24_Nano"	4	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(87.33);Bilateria(70.29);Protostomia(70.29);Lophotrochozoa(70.29);Annelida(70.29);Polychaeta(70.29);Typhloscolex sp(18.23);"	"Eukaryota;Bilateria;Protostomia;Lophotrochozoa;Annelida;Polychaeta;"
"f8a857628ce260fd815c21bc8b206558"	"Eukaryota"	"24_Nano"	2	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(89.13);SAR(18.06);Rhizaria(18.06);Cercozoa(18.06);Thecofilosea(18.06);metagenome(18.06);metagenome(36.13);"	"Eukaryota;"
