sample	Extraction	Specimen	Species	Feature_name	OTU	abundance	run	barcode	database	Broad.group	Interpretation	Phylum	Class	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	R1	pR1	R2	pR2	R3	pR3	R4	pR4	R5	pR5	R6	pR6	R7	pR7	R8	pR8	R9	pR9	R10	pR10	R11	pR11	R12	pR12	R13	pR13	R14	pR14	R15	pR15	R16	pR16	R17	pR17	R18	pR18	R19	pR19	R20	pR20
24_Nano				1fc79fe2dcd718afa941cb07c3c1a2e1	Eukaryota_SAR_Alveolata_Syndiniales_Duboscquella_uncultured eukaryote_uncultured eukaryote	2	RUN0	134	SILVA138plus			Duboscquella	uncultured eukaryote	uncultured eukaryote										Eukaryota	90.56	SAR	90.56	Alveolata	90.56	Syndiniales	90.56	Duboscquella	72.48	uncultured eukaryote	90.56	uncultured eukaryote	90.56																										
24_Nano				2fd7abd8624b413e5eb0464ae2a8a688	Eukaryota	42	RUN0	134	SILVA138plus															Eukaryota	85.12	Cnidaria	34.66	Hydrozoa	34.66	Hydroidolina	34.66	Siphonophorae	34.66	hydrothermal vent metagenome	17.77	hydrothermal vent metagenome	17.77																										
24_Nano				314228c55c31a4a5b5ccaabe629a2b15	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.34	Bilateria	54.20	Protostomia	54.20	Ecdysozoa	54.20	Arthropoda	18.06	Hexapoda	18.06	Acrotrichis sp	18.06																										
24_Nano				404b7f94405d0fb32c7d0cea6b8ec967	Eukaryota	66	RUN0	134	SILVA138plus															Eukaryota	85.12	Cnidaria	34.66	Hydrozoa	34.66	Hydroidolina	34.66	Siphonophorae	34.66	hydrothermal vent metagenome	17.77	hydrothermal vent metagenome	17.77																										
24_Nano				45b0ef32f4deda32be9a18982f4056f1	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	86.67	Amorphea	52.60	Obazoa	52.60	Opisthokonta	52.60	Nucletmycea	52.60	Fungi	52.60	uncultured marine picoeukaryote	18.07																										
24_Nano				49a4f023c38892ecd80ae12b3071b0d3	Eukaryota_SAR_Rhizaria_Retaria_Polycystinea	2	RUN0	134	SILVA138plus			Polycystinea												Eukaryota	89.35	SAR	89.35	Rhizaria	89.35	Retaria	89.35	Polycystinea	89.35	Collodaria	53.78	Rhaphidozoum acuferum	18.20																										
24_Nano				4b1f9cd3e6f70d531ce171f2e749eb10	Eukaryota_SAR_Rhizaria_Retaria_Polycystinea	2	RUN0	134	SILVA138plus			Polycystinea												Eukaryota	87.82	SAR	87.82	Rhizaria	87.82	Retaria	87.82	Polycystinea	87.82	Collodaria	69.71	marine metagenome	35.58																										
24_Nano				5025b8759087711ee4c3e3252911d5b7	Eukaryota	2	RUN0	134	SILVA138plus															Archaea	18.06	Nanoarchaeota	18.06	Nanoarchaeia	18.06	Woesearchaeales	18.06	uncultured archaeon	18.06		0	uncultured archaeon	18.06																										
24_Nano				52ebe510807b1dba3702185c34341103	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	91.56	Basidiomycota	54.94	Ustilaginomycotina	54.94	Malasseziales	54.94	Malasseziaceae	54.94	Malassezia	54.94	uncultured eukaryote	54.94																										
24_Nano				57084fc794a815d207dfedd28aeb9b42	Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Annelida_Polychaeta	4	RUN0	134	SILVA138plus			Annelida	Polychaeta											Eukaryota	87.33	Bilateria	70.29	Protostomia	70.29	Lophotrochozoa	70.29	Annelida	70.29	Polychaeta	70.29	Typhloscolex sp	18.23																										
24_Nano				5aa493c42de34fac5d6a9c07a945b41d	Eukaryota	203752	RUN0	134	SILVA138plus															Eukaryota	91.00	SAR	18.31	Stramenopiles	18.31	Ochrophyta	18.31	Bacillariophyceae	18.31	Pleurosigma	18.31	uncultured stramenopile	18.31																										
24_Nano				5fd618e8b308c28ec1eff28265c76139	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	89.39	SAR	18.07	Rhizaria	18.07	Cercozoa	18.07	Thecofilosea	18.07	metagenome	18.07	metagenome	36.14																										
24_Nano				600541f248a9a053ad1129eeb7e34b6a	Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata	6	RUN0	134	SILVA138plus			Tunicata												Eukaryota	88.99	Bilateria	88.99	Deuterostomia	88.99	Chordata	88.99	Tunicata	88.99	Thaliacea	54.34	Thalia democratica	36.47																										
24_Nano				65cbe25a7b802d3153795549c45bb1ee	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	89.37	Ascomycota	18.07	Pezizomycotina	18.07	Sordariomycetes	18.07	metagenome	18.07		0	metagenome	36.15																										
24_Nano				7141d662988f28d006246cbe9800907d	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.07	Pezizomycotina	18.07	Sordariomycetes	18.07	metagenome	18.07		0	metagenome	36.15																										
24_Nano				7210dbc06fa21d7eecec9b3a7a87dd8f	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.33	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
24_Nano				73d626e6400f7074449c7e7d28acda5f	Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Bivalvia_Gastrochaena dubia	2	RUN0	134	SILVA138plus			Mollusca	Bivalvia	Gastrochaena dubia										Eukaryota	90.30	Bilateria	90.30	Protostomia	90.30	Lophotrochozoa	90.30	Mollusca	90.30	Bivalvia	90.30	Gastrochaena dubia	90.30																										
24_Nano				7f254e90a70edd4cbe9b43a1cb7647c7	Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Bivalvia	2	RUN0	134	SILVA138plus			Mollusca	Bivalvia											Eukaryota	89.07	Bilateria	71.01	Protostomia	71.01	Lophotrochozoa	71.01	Mollusca	71.01	Bivalvia	71.01	Pharella javanica	17.75																										
24_Nano				7f3a6e74f831227cd291f244ba0fd557	Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea	2732	RUN0	134	SILVA138plus			Arthropoda	Crustacea											Eukaryota	90.68	Bilateria	72.66	Protostomia	72.66	Ecdysozoa	72.66	Arthropoda	72.66	Crustacea	72.66	Euchaeta concinna	18.31																										
24_Nano				84777292b376f24215680c71d8dc2660	Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea	2436	RUN0	134	SILVA138plus			Arthropoda	Crustacea											Eukaryota	90.68	Bilateria	72.66	Protostomia	72.66	Ecdysozoa	72.66	Arthropoda	72.66	Crustacea	72.66	Euchaeta concinna	18.31																										
24_Nano				8f75c173692630a9d9bff7f68a0de5b0	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	89.76	Ascomycota	18.07	Pezizomycotina	18.07	Sordariomycetes	18.07	metagenome	18.07		0	metagenome	36.15																										
24_Nano				9982d4f49252440e316aa1785021b6f7	Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata	4	RUN0	134	SILVA138plus			Tunicata												Eukaryota	88.99	Bilateria	88.99	Deuterostomia	88.99	Chordata	88.99	Tunicata	88.99	Thaliacea	54.34	Thalia democratica	36.47																										
24_Nano				9dbe7d1abe5ac1ac222a329820083574	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.32	Ascomycota	18.06	Saccharomycotina	18.06	Saccharomycetales	18.06	Pichiaceae	18.06	Ogataea-Candida clade	18.06	Candida sp	18.06																										
24_Nano				abda864f0fa0f6eaf84a6ba2850387aa	Eukaryota_Bilateria	2	RUN0	134	SILVA138plus															Eukaryota	90.31	Bilateria	90.31	Protostomia	36.12	Lophotrochozoa	18.06	Annelida	18.06	Clitellata	18.06	Tubificoides parviductus	18.06																										
24_Nano				b04cbde41c655e8dcec4d8ee1e1dbcf9	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	72.27	Ascomycota	18.07	Pezizomycotina	18.07	Sordariomycetes	18.07	metagenome	18.07		0	metagenome	36.15																										
24_Nano				b3b36fc56f296d50a9fae8241e8a8653	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.32	Ascomycota	18.06	Saccharomycotina	18.06	Saccharomycetales	18.06	Pichiaceae	18.06	Ogataea-Candida clade	18.06	Candida sp	18.06																										
24_Nano				b629f21c6dbcbec3b68d6cd968b12b84	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.48	SAR	36.20	Rhizaria	36.20	Cercozoa	36.20	Thecofilosea	18.13	metagenome	18.13	metagenome	36.27																										
24_Nano				bbd75d98b7edb038670c8900341dfba7	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote	2	RUN0	134	SILVA138plus			Siphonophorae	uncultured eukaryote	uncultured eukaryote										Eukaryota	90.62	Cnidaria	36.03	Hydrozoa	36.03	Hydroidolina	36.03	Siphonophorae	36.03	uncultured eukaryote	54.23	uncultured eukaryote	72.42																										
24_Nano				cdef10ae33b8952edb70f2fc60be1e71	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Apostomatia	2	RUN0	134	SILVA138plus			Oligohymenophorea	Apostomatia											Eukaryota	87.82	Ciliophora	87.82	Intramacronucleata	87.82	Conthreep	87.82	Oligohymenophorea	87.82	Apostomatia	70.40	Vampyrophrya pelagica	17.96																										
24_Nano				d06a46a10d269fc798baa6da556eb77f	Eukaryota	212363	RUN0	134	SILVA138plus															Eukaryota	91.00	SAR	18.31	Stramenopiles	18.31	Ochrophyta	18.31	Bacillariophyceae	18.31	Pleurosigma	18.31	uncultured stramenopile	18.31																										
24_Nano				eba81c627d7b3160f1bc550bf5972a9e	Eukaryota_Bilateria_Protostomia	2	RUN0	134	SILVA138plus															Eukaryota	90.30	Bilateria	72.24	Protostomia	72.24	Lophotrochozoa	54.18	Mollusca	54.18	Bivalvia	54.18	Meretrix meretrix	18.06																										
24_Nano				f156ce8966eb6bccb01b525152f2f302	Eukaryota_Dinoflagellata	2	RUN0	134	SILVA138plus															Eukaryota	90.24	Dinoflagellata	72.19	Incertae Sedis	18.07	Blastodinium	18.07	Blastodinium spinulosum	18.07		0	Blastodinium spinulosum	18.07																										
24_Nano				f7ddef4c0b2224b1307f680dcf8c1324	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote	2	RUN0	134	SILVA138plus			Syndiniales Group I	uncultured eukaryote	uncultured eukaryote										Eukaryota	90.04	SAR	90.04	Alveolata	90.04	Syndiniales	90.04	Syndiniales Group I	90.04	uncultured eukaryote	90.04	uncultured eukaryote	90.04																										
24_Nano				f8a857628ce260fd815c21bc8b206558	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	89.13	SAR	18.06	Rhizaria	18.06	Cercozoa	18.06	Thecofilosea	18.06	metagenome	18.06	metagenome	36.13																										
25_Physo				00078838407b0e26c0d8c280785caaf2	Eukaryota	14	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
