DOI	Sequencing	Concentration 
https://doi.org/10.1371/journal.pone.0196589	MiSeq	PCR
https://doi.org/10.1111/mec.14581	HiSeq4000	PCR
https://doi.org/10.1111/mec.14776	HTS 	PCR
https://doi.org/10.1016/j.soilbio.2018.06.026	MiSeq	PCR
https://doi.org/10.1038/s41598-018-21501-y	Sanger	PCR
https://doi.org/10.1642/AUK-17-199.1	MiSeq	PCR
https://doi.org/10.1002/ece3.3638	MiSeq	PCR
https://doi.org/10.1007/s00442-018-4203-6	HiSeq2500	PCR
https://doi.org/10.7287/peerj.preprints.26667v2	MiSeq	PCR
https://doi.org/10.1371/journal.pone.0201763	MiSeq	PCR
https://doi.org/10.1111/mec.14830	MiSeq	PCR
https://doi.org/10.1038/s41598-018-26648-2	MiSeq	PCR
https://doi.org/10.1101/332312	MiSeq	PCR
https://doi.org/10.1186/s40851-018-0088-9	MiSeq	PCR
https://doi.org/10.1016/j.mambio.2017.10.010	MiSeq PCR
https://doi.org/10.1038/s41598-018-24388-x	MiSeq	PCR+Magbio
