"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"1e92951153c537b56c3b1fecc5561ef6"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	108	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"80540213bd8477f19731f1ebb96eb3c6"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	144	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"84777292b376f24215680c71d8dc2660"	"Eukaryota"	"24_Nano"	2436	"RUN0"	"134"	"SILVA"	"Eukaryota(90.67);Metazoa(54.67);Ecdysozoa(54.67);Arthropoda(54.67);Crustacea(54.67);Maxillopoda(54.67);Copepoda(54.67);Calanoida(54.67);Euchaetidae(18.28);Euchaeta(18.28);Euchaeta concinna(22.85);"	"Eukaryota;"
"7f3a6e74f831227cd291f244ba0fd557"	"Eukaryota"	"24_Nano"	2732	"RUN0"	"134"	"SILVA"	"Eukaryota(90.67);Metazoa(54.67);Ecdysozoa(54.67);Arthropoda(54.67);Crustacea(54.67);Maxillopoda(54.67);Copepoda(54.67);Calanoida(54.67);Euchaetidae(18.28);Euchaeta(18.28);Euchaeta concinna(22.85);"	"Eukaryota;"
"d06a46a10d269fc798baa6da556eb77f"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	213107	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"5aa493c42de34fac5d6a9c07a945b41d"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	204538	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"c63ba996ba731d0966168cc598a6116a"	"Eukaryota"	"24_Nano"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(89.38);environmental samples(18.25);uncultured eukaryote(18.25);"	"Eukaryota;"
"f7ddef4c0b2224b1307f680dcf8c1324"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(90.53);environmental samples(90.53);uncultured eukaryote(90.53);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"52ebe510807b1dba3702185c34341103"	"Eukaryota_Fungi_environmental samples_uncultured fungus"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(91.42);Fungi(91.42);environmental samples(91.42);uncultured fungus(91.42);"	"Eukaryota;Fungi;environmental samples;uncultured fungus;"
"017d0aa2495cd2bd94a8b49ac7755542"	"Eukaryota"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(90.36);Metazoa(36.43);Chordata(18.29);Tunicata(18.29);Appendicularia(18.29);Oikopleuridae(18.29);Megalocercus(18.29);Megalocercus huxleyi(18.29);"	"Eukaryota;"
"85b83a5bcbebc27dca7936b256b50583"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	6	"RUN0"	"134"	"SILVA"	"Eukaryota(91.36);environmental samples(73.09);uncultured eukaryote(73.09);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"1b09554eac191f2f9f427a97790c1a4f"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	8	"RUN0"	"134"	"SILVA"	"Eukaryota(91.36);environmental samples(73.09);uncultured eukaryote(73.09);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"3b871e01f0c325bc5294d201db4c15ea"	"Eukaryota"	"24_Nano"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(87.32);environmental samples(69.96);uncultured eukaryote(69.96);"	"Eukaryota;"
"4ab50f9b870ac14bcc9e93d7ac023764"	"Eukaryota_Metazoa"	"24_Nano"	8	"RUN0"	"134"	"SILVA"	"Eukaryota(90.48);Metazoa(90.48);Lophotrochozoa(36.26);Mollusca(18.06);Polyplacophora(18.06);Neoloricata(18.06);Chitonida(18.06);Chitonina(18.06);Ischnochitonidae(18.06);Lepidozona(18.06);Lepidozona mertensii(18.06);"	"Eukaryota;Metazoa;"
"404b7f94405d0fb32c7d0cea6b8ec967"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	66	"RUN0"	"134"	"SILVA"	"Eukaryota(83.41);environmental samples(83.41);uncultured eukaryote(83.41);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"600541f248a9a053ad1129eeb7e34b6a"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	6	"RUN0"	"134"	"SILVA"	"Eukaryota(89.94);environmental samples(71.72);uncultured eukaryote(71.72);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"2fd7abd8624b413e5eb0464ae2a8a688"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	42	"RUN0"	"134"	"SILVA"	"Eukaryota(83.41);environmental samples(83.41);uncultured eukaryote(83.41);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"bbe7e69f03b5bf5b5f8a2a7948b48d00"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(90.08);environmental samples(90.08);uncultured eukaryote(90.08);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"9982d4f49252440e316aa1785021b6f7"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(89.94);environmental samples(71.72);uncultured eukaryote(71.72);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"0ae2e3949a95ecdd2e6b3bc7f7f251a8"	"Eukaryota"	"24_Nano"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(89.68);Fungi(53.41);environmental samples(35.27);uncultured fungus(35.27);"	"Eukaryota;"
"b04cbde41c655e8dcec4d8ee1e1dbcf9"	"Bacteria"	"24_Nano"	4	"RUN0"	"134"	"SILVA"	"Bacteria(86.43);Tenericutes(52.02);Mollicutes(52.02);environmental samples(34.81);uncultured Mollicutes bacterium(34.81);"	"Bacteria;"
"57084fc794a815d207dfedd28aeb9b42"	"Eukaryota_Metazoa"	"24_Nano"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(89.23);Metazoa(89.23);Lophotrochozoa(53.22);Annelida(53.22);Polychaeta(53.22);Palpata(35.18);Aciculata(35.18);Phyllodocida(35.18);Typhloscolecidae(18.21);Typhloscolex(22.76);Typhloscolex sp. THS-2009(22.76);"	"Eukaryota;Metazoa;"
"f156ce8966eb6bccb01b525152f2f302"	"Eukaryota"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(90.24);Alveolata(18.07);Dinophyceae(18.07);Blastodiniales(18.07);Blastodinium(18.07);Blastodinium spinulosum(18.07);"	"Eukaryota;"
"cdef10ae33b8952edb70f2fc60be1e71"	"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Apostomatida"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(88.25);Alveolata(70.78);Ciliophora(70.78);Intramacronucleata(70.78);Oligohymenophorea(70.78);Apostomatida(70.78);Foettingeriidae(53.31);Vampyrophrya(18.06);Vampyrophrya pelagica(18.06);"	"Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Apostomatida;"
"bbd75d98b7edb038670c8900341dfba7"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(90.83);environmental samples(90.83);uncultured eukaryote(90.83);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"5025b8759087711ee4c3e3252911d5b7"	"Bacteria"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Bacteria(86.43);Tenericutes(52.02);Mollicutes(52.02);environmental samples(34.81);uncultured Mollicutes bacterium(34.81);"	"Bacteria;"
"4b1f9cd3e6f70d531ce171f2e749eb10"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(88.30);environmental samples(88.30);uncultured eukaryote(88.30);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"49a4f023c38892ecd80ae12b3071b0d3"	"Eukaryota_Rhizaria_Polycystinea_Spumellaria_Sphaerozoidae"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(89.31);Rhizaria(71.54);Polycystinea(71.54);Spumellaria(71.54);Sphaerozoidae(71.54);Collozoum(53.67);Collozoum inerme(35.81);"	"Eukaryota;Rhizaria;Polycystinea;Spumellaria;Sphaerozoidae;"
"45b0ef32f4deda32be9a18982f4056f1"	"Eukaryota_environmental samples"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(90.04);environmental samples(90.04);uncultured marine picoeukaryote(36.05);"	"Eukaryota;environmental samples;"
"1fc79fe2dcd718afa941cb07c3c1a2e1"	"Eukaryota_environmental samples_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(91.10);environmental samples(91.10);uncultured eukaryote(91.10);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"1e92951153c537b56c3b1fecc5561ef6"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	232702	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"80540213bd8477f19731f1ebb96eb3c6"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	242738	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"d06a46a10d269fc798baa6da556eb77f"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	42	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"5aa493c42de34fac5d6a9c07a945b41d"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	66	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"024ea001350ab7b5a8625dd1e5a81d53"	"Eukaryota"	"25_Physo"	10	"RUN0"	"134"	"SILVA"	"Eukaryota(89.38);environmental samples(18.25);uncultured eukaryote(18.25);"	"Eukaryota;"
"c63ba996ba731d0966168cc598a6116a"	"Eukaryota"	"25_Physo"	16	"RUN0"	"134"	"SILVA"	"Eukaryota(89.38);environmental samples(18.25);uncultured eukaryote(18.25);"	"Eukaryota;"
"0d675f3ae73e3e9f5374904aba118ca1"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	396	"RUN0"	"134"	"SILVA"	"Eukaryota(91.31);environmental samples(91.31);uncultured eukaryote(91.31);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"4cd2cbbede8f41e554101e547c83d2a1"	"Eukaryota_Fungi_environmental samples_uncultured fungus"	"25_Physo"	16	"RUN0"	"134"	"SILVA"	"Eukaryota(91.42);Fungi(91.42);environmental samples(91.42);uncultured fungus(91.42);"	"Eukaryota;Fungi;environmental samples;uncultured fungus;"
"e4ab7b4c211884b4eaf286678831fa3f"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	264	"RUN0"	"134"	"SILVA"	"Eukaryota(91.31);environmental samples(91.31);uncultured eukaryote(91.31);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"017d0aa2495cd2bd94a8b49ac7755542"	"Eukaryota"	"25_Physo"	6	"RUN0"	"134"	"SILVA"	"Eukaryota(90.36);Metazoa(36.43);Chordata(18.29);Tunicata(18.29);Appendicularia(18.29);Oikopleuridae(18.29);Megalocercus(18.29);Megalocercus huxleyi(18.29);"	"Eukaryota;"
"409cfeee24a7e42a910d1717d3d263ce"	"Eukaryota"	"25_Physo"	14	"RUN0"	"134"	"SILVA"	"Eukaryota(90.36);Metazoa(36.43);Chordata(18.29);Tunicata(18.29);Appendicularia(18.29);Oikopleuridae(18.29);Megalocercus(18.29);Megalocercus huxleyi(18.29);"	"Eukaryota;"
"17575eefb2a16bc6f2bcf0f174359993"	"Eukaryota_Fungi_environmental samples_uncultured fungus"	"25_Physo"	8	"RUN0"	"134"	"SILVA"	"Eukaryota(91.43);Fungi(91.43);environmental samples(73.14);uncultured fungus(73.14);"	"Eukaryota;Fungi;environmental samples;uncultured fungus;"
"00eaa39863dbf8a19befa1c66d79691f"	"Eukaryota_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomycetaceae_Saccharomyces"	"25_Physo"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(91.39);Fungi(91.39);Dikarya(91.39);Ascomycota(91.39);Saccharomycotina(91.39);Saccharomycetes(91.39);Saccharomycetales(91.39);Saccharomycetaceae(91.39);Saccharomyces(91.39);Saccharomyces cerevisiae (54.83);"	"Eukaryota;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"
"bc17d8a3fa5aab06d012e59380ef0027"	"Eukaryota_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomycetaceae_Saccharomyces"	"25_Physo"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(91.39);Fungi(91.39);Dikarya(91.39);Ascomycota(91.39);Saccharomycotina(91.39);Saccharomycetes(91.39);Saccharomycetales(91.39);Saccharomycetaceae(91.39);Saccharomyces(91.39);Saccharomyces cerevisiae (54.83);"	"Eukaryota;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"
"6095d49d27876ca35df3ca6d12972d12"	"Eukaryota_Metazoa"	"25_Physo"	68	"RUN0"	"134"	"SILVA"	"Eukaryota(90.54);Metazoa(90.54);Porifera(18.11);Demospongiae(18.11);Hadromerida(18.11);Suberitidae(18.11);Rhizaxinella(18.11);Rhizaxinella sp. G319653(18.11);"	"Eukaryota;Metazoa;"
"58a34f489003a8e83e4ad8074e34ced9"	"Eukaryota_Metazoa"	"25_Physo"	66	"RUN0"	"134"	"SILVA"	"Eukaryota(90.54);Metazoa(90.54);Porifera(18.11);Demospongiae(18.11);Hadromerida(18.11);Suberitidae(18.11);Rhizaxinella(18.11);Rhizaxinella sp. G319653(18.11);"	"Eukaryota;Metazoa;"
"69ee4d0a6570aea036045c85b32b5d50"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	18	"RUN0"	"134"	"SILVA"	"Eukaryota(89.40);environmental samples(89.40);uncultured eukaryote(89.40);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"db37bafe0074a5704b4cd9677b4ede44"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	36	"RUN0"	"134"	"SILVA"	"Eukaryota(87.15);environmental samples(87.15);uncultured eukaryote(87.15);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"7530a9f4aa357504972208fbcb68c150"	"Eukaryota"	"25_Physo"	2	"RUN0"	"134"	"SILVA"	"Eukaryota(91.39);environmental samples(54.83);uncultured eukaryote(54.83);"	"Eukaryota;"
"c0b489dcbb204aa67ba99a3251dda2c3"	"Eukaryota_environmental samples_uncultured eukaryote"	"25_Physo"	4	"RUN0"	"134"	"SILVA"	"Eukaryota(90.90);environmental samples(90.90);uncultured eukaryote(90.90);"	"Eukaryota;environmental samples;uncultured eukaryote;"
