Sample,Lowest ID,Broad group,Stage,Count,Fraction split,Representative count,Density in water column (ind./dm3)
BIOS19-D2-Trawl1,Temora sp.,Copepod,Adult,1680,32,53760,28102
BIOS19-D2-Trawl1,Sagittoidea,Chaetognath,Adult,58,32,1856,970
BIOS19-D2-Trawl1,Libinia sp.,Decapod,Zoea,54,32,1728,903
BIOS19-D2-Trawl1,Penilia avirostris,Cladoceran,Adult,33,32,1056,552
BIOS19-D2-Trawl1,Pandalidae,Decapod,Zoea,32,32,1024,535
BIOS19-D2-Trawl1,Alpheidae,Decapod,Early zoea,28,32,896,468
BIOS19-D2-Trawl1,Scombridae,Actinopteri,Egg,21,32,672,351
BIOS19-D2-Trawl1,Majidae,Decapod,Zoea,17,32,544,284
BIOS19-D2-Trawl1,Oikopleura sp.,Larvacean,Adult,14,32,448,234
BIOS19-D2-Trawl1,Hippolytidae,Decapod,Zoea,7,32,224,117
BIOS19-D2-Trawl1,Euchaeta sp.,Copepod,Adult,6,32,192,100
BIOS19-D2-Trawl1,Anomura (c.f. Munida sp.),Decapod,Zoea,3,32,96,50
BIOS19-D2-Trawl1,Actinopteri,Actinopteri,Hatchling,2,32,64,33
BIOS19-D2-Trawl1,Alpheidae,Decapod,Late zoea,21,2,42,22
BIOS19-D2-Trawl1,Evadne sp.,Cladoceran,Adult,1,32,32,17
BIOS19-D2-Trawl1,Panopeidae,Decapod,Zoea,1,32,32,17
BIOS19-D2-Trawl1,Gastropoda,Gastropod,Veliger,1,32,32,17
BIOS19-D2-Trawl1,Squilloidea,Stomatopod,Alima,6,2,12,6
BIOS19-D2-Trawl1,Metridia lucens,Copepod,Adult,4,2,8,4
BIOS19-D2-Trawl1,Scombridae,Actinopteri,Larva,3,2,6,3
BIOS19-D2-Trawl1,Scombridae,Actinopteri,Egg,3,2,6,3
BIOS19-D2-Trawl1,Libinia sp.,Decapod,Zoea,2,2,4,2
BIOS19-D2-Trawl1,Carangidae,Actinopteri,Larva,1,2,2,1
BIOS19-D2-Trawl1,Stomatopoda,Stomatopod,Antizoea,1,2,2,1
BIOS19-D2-Trawl1,Engraulidae,Actinopteri,Larva,1,2,2,1
BIOS19-D2-Trawl1,Palaemonidae,Decapod,Zoea,1,2,2,1
BIOS19-D2-Trawl1,Clupeidae,Actinopteri,Egg,1,2,2,1
BIOS19-D2-Trawl1,Libinia sp.,Decapod,Megalopa,1,2,2,1
BIOS19-D2-Trawl1,Metridia longa,Copepod,Adult,1,2,2,1
BIOS19-D1-Trawl1,Euchaeta sp.,Copepod,Adult,676,32,21632,8320.0
BIOS19-D1-Trawl1,Temora sp.,Copepod,Adult,30,32,960,369.2
BIOS19-D1-Trawl1,Sagittoidea (short stubby),Chaetognath,Adult,30,32,960,369.2
BIOS19-D1-Trawl1,Bilateria (mystery oval egg),Actinopteri,Egg,19,32,608,233.8
BIOS19-D1-Trawl1,Corycaeus sp.,Copepod,Adult,14,32,448,172.3
BIOS19-D1-Trawl1,Calanoida,Copepod,Adult,11,32,352,135.4
BIOS19-D1-Trawl1,Majoidea,Decapod,Zoea,9,32,288,110.8
BIOS19-D1-Trawl1,Crangon sp.,Decapod,Zoea,8,32,256,98.5
BIOS19-D1-Trawl1,Oikopleura sp.,Larvacean,Adult,5,32,160,61.5
BIOS19-D1-Trawl1,Galatheidae (Anomura),Decapod,Zoea,4,32,128,49.2
BIOS19-D1-Trawl1,Oithona sp.,Copepod,Adult,3,32,96,36.9
BIOS19-D1-Trawl1,Candacia cf. ethiopica,Copepod,Adult,2,32,64,24.6
BIOS19-D1-Trawl1,Pandalidae,Decapod,Zoea,1,32,32,12.3
BIOS19-D1-Trawl1,Oncaea sp.,Copepod,Adult,1,32,32,12.3
BIOS19-D1-Trawl1,Podon sp.,Cladoceran,Adult,1,32,32,12.3
BIOS19-D1-Trawl1,Thunnus sp.,Actinopteri,Egg,1,32,32,12.3
BIOS19-D1-Trawl1,Alpheidae,Decapod,Zoea/Decapodid,12,1,12,4.6
BIOS19-D1-Trawl1,Candacia cf. ethiopica,Copepod,Adult,5,1,5,1.9
BIOS19-D1-Trawl1,Libinia sp.,Decapod,Megalopa,5,1,5,1.9
BIOS19-D1-Trawl1,Thunnus sp.,Actinopteri,Larva (stage 2),3,1,3,1.2
BIOS19-D1-Trawl1,Pandalidae,Decapod,Zoea,3,1,3,1.2
BIOS19-D1-Trawl1,Hyperiidae,Amphipod,Adult,2,1,2,0.8
BIOS19-D1-Trawl1,Thunnus sp.,Actinopteri,Larva (stage 1),2,1,2,0.8
BIOS19-D1-Trawl1,Pseudosagitta sp.,Chaetognath,Adult,2,1,2,0.8
BIOS19-D1-Trawl1,Squilloidea,Stomatopod,Alima,1,1,1,0.4
BIOS19-D1-Trawl1,Gammaridea (Hyachelia or Polycheria),Amphipod,Adult,1,1,1,0.4
BIOS19-D1-Trawl1,Oithona sp.,Copepod,Adult,1,1,1,0.4
BIOS19-D1-Trawl1,Thunnus sp.,Actinopteri,Egg,1,1,1,0.4
BIOS19-D1-Trawl1,Rhincalanus cornutus (female),Copepod,Adult,1,1,1,0.4
BIOS19-D1-Trawl1,Euchaeta sp. (large),Copepod,Adult,1,1,1,0.4
BIOS19-D4-Trawl1,Temora sp.,Copepod,Adult,670,32,21440,
BIOS19-D4-Trawl1,Penilia avirostris,Cladoceran,Adult,86,32,2752,
BIOS19-D4-Trawl1,"Actinopteri (Pomatomus, Scombridae, Sciaenidae)",Actinopteri,Egg,59,32,1888,
BIOS19-D4-Trawl1,Majidae,Decapod,Zoea,14,32,448,
BIOS19-D4-Trawl1,"Actinopteri (Pomatomus, Scombridae, Gobiidae, Sciaenidae)",Actinopteri,Larva,11,32,352,
BIOS19-D4-Trawl1,Alpheidae,Decapod,Early zoea,10,32,320,
BIOS19-D4-Trawl1,Euchaeta sp.,Copepod,Adult,10,32,320,
BIOS19-D4-Trawl1,Pandalidae,Decapod,Zoea,10,32,320,
BIOS19-D4-Trawl1,Clupeidae,Actinopteri,Egg,9,32,288,
BIOS19-D4-Trawl1,Sagitta sp.,Chaetognath,Adult,6,32,192,
BIOS19-D4-Trawl1,Oikopleura sp.,Larvacean,Adult,4,32,128,
BIOS19-D4-Trawl1,Thiidae,Decapod,Zoea,3,32,96,
BIOS19-D4-Trawl1,Obelia sp.,Hydromedusa,Adult,2,32,64,
BIOS19-D4-Trawl1,Evadne sp.,Cladoceran,Adult,2,32,64,
BIOS19-D4-Trawl1,Hippolytidae,Decapod,Zoea,2,32,64,
BIOS19-D4-Trawl1,Liocarcinus sp.,Decapod,Zoea,2,32,64,
BIOS19-D4-Trawl1,Xanthidae,Decapod,Zoea,1,32,32,
BIOS19-D4-Trawl1,Engraulid elongate egg,Actinopteri,Egg,1,32,32,
BIOS19-D4-Trawl1,Carangidae,Actinopteri,Larva,1,32,32,
BIOS19-D4-Trawl1,Diogenes sp.,Decapod,Zoea,1,32,32,
BIOS19-D4-Trawl1,Pandalidae,Decapod,Zoea,9,2,18,
BIOS19-D4-Trawl1,"Actinopteri (Clupeidae, Scombridae, Gobiidae, Sciaenidae)",Actinopteri,Larva,7,2,14,
BIOS19-D4-Trawl1,Xanthidae,Decapod,Zoea,4,2,8,
BIOS19-D4-Trawl1,Alpheidae,Decapod,Late zoea,3,2,6,
BIOS19-D4-Trawl1,Squilloidea,Stomatopod,Alima,2,2,4,
BIOS19-D4-Trawl1,Carangidae,Actinopteri,Larva,2,2,4,
BIOS19-D4-Trawl1,Engraulid elongate egg,Actinopteri,Egg,1,2,2,
BIOS19-D4-Trawl1,Anthomedusae,Hydromedusa,Adult,1,2,2,
BIOS19-D3-Trawl1,Euchaeta sp.,Copepod,Adult,1268,32,40576,22719
BIOS19-D3-Trawl1,Temora sp.,Copepod,Adult,226,32,7232,4049
BIOS19-D3-Trawl1,Diogenes sp.,Decapod,Zoea,160,32,5120,2867
BIOS19-D3-Trawl1,Maja sp.,Decapod,Zoea,55,32,1760,985
BIOS19-D3-Trawl1,Sagitta sp.,Chaetognath,Adult,31,32,992,555
BIOS19-D3-Trawl1,Libinia sp.,Decapod,Zoea,20,32,640,358
BIOS19-D3-Trawl1,Thunnus sp.,Actinopteri,Egg,19,32,608,340
BIOS19-D3-Trawl1,Alpheidae,Decapod,Late zoea,16,32,512,287
BIOS19-D3-Trawl1,Oikopleura sp.,Larvacean,Adult,16,32,512,287
BIOS19-D3-Trawl1,Evadne sp.,Cladoceran,Adult,15,32,480,269
BIOS19-D3-Trawl1,Oithona sp.,Copepod,Adult,11,32,352,197
BIOS19-D3-Trawl1,Alpheidae,Decapod,Early zoea,11,32,352,197
BIOS19-D3-Trawl1,Engraulid elongate egg,Actinopteri,Egg,9,32,288,161
BIOS19-D3-Trawl1,Thunnus sp.,Actinopteri,Hatchling,8,32,256,143
BIOS19-D3-Trawl1,Corycaeus sp.,Copepod,Adult,7,32,224,125
BIOS19-D3-Trawl1,Thunnus sp.,Actinopteri,Larva,6,32,192,108
BIOS19-D3-Trawl1,Oncaea sp.,Copepod,Adult,5,32,160,90
BIOS19-D3-Trawl1,Calanus sp.,Copepod,Adult,5,32,160,90
BIOS19-D3-Trawl1,Thunnus sp.,Actinopteri,Larva,42,2,84,47
BIOS19-D3-Trawl1,Libinia sp.,Decapod,Megalopa,2,32,64,36
BIOS19-D3-Trawl1,Gastropoda,Gastropod,Veliger,2,32,64,36
BIOS19-D3-Trawl1,Copilia sp.,Copepod,Adult,1,32,32,18
BIOS19-D3-Trawl1,Nanomia sp.,Siphonophore,Polygastric,1,32,32,18
BIOS19-D3-Trawl1,Isopoda,Isopod,Juvenile/Adult,1,32,32,18
BIOS19-D3-Trawl1,Centropages sp.,Copepod,Adult,1,32,32,18
BIOS19-D3-Trawl1,Thiidae,Decapod,Zoea,1,32,32,18
BIOS19-D3-Trawl1,Enneagonum hyalinum,Siphonophore,Polygastric,1,32,32,18
BIOS19-D3-Trawl1,Candacia cf. ethiopica,Copepod,Adult,1,32,32,18
BIOS19-D3-Trawl1,Eurynome sp.,Decapod,Zoea,1,32,32,18
BIOS19-D3-Trawl1,Bassia bassensis,Siphonophore,Polygastric,1,32,32,18
BIOS19-D3-Trawl1,Thunnus sp.,Actinopteri,Egg,2,2,4,2
BIOS19-D3-Trawl1,Bilateria (mystery ciliated grooved larva),Animal,Larva,1,2,2,1
BIOS19-D3-Trawl1,Scombriformes,Actinopteri,Larva,1,2,2,1
BIOS19-D3-Trawl1,Candacia cf. ethiopica,Copepod,Adult,1,2,2,1
BIOS19-D3-Trawl1,Lysmata sp.,Decapod,Zoea,1,2,2,1
BIOS19-D3-Trawl1,Libinia sp.,Decapod,Megalopa,1,2,2,1
D1139-BWT1,Copepoda (<2mm),Copepod,Adult + Copepodite,945,32,30240,
D1139-BWT1,Copepoda (Calanus pacificus) (>2mm),Copepod,Adult,198,32,6336,
D1139-BWT1,Corycaeus sp.,Copepod,Adult,170,32,5440,
D1139-BWT1,Euphausiidae,Krill,Calytopsis,151,32,4832,
D1139-BWT1,Oikopleura dioica,Larvacean,Adult,130,32,4160,
D1139-BWT1,Euphausiidae,Krill,Metanauplius,75,32,2400,
D1139-BWT1,Eucalanus californicus,Copepod,Nauplius,73,32,2336,
D1139-BWT1,Eucalanus californicus,Copepod,Adult,29,32,928,
D1139-BWT1,Euphausiidae,Krill,Furcilia,27,32,864,
D1139-BWT1,Evadne sp.,Cladoceran,Adult,25,32,800,
D1139-BWT1,Muggiaea atlantica,Siphonophore,Polygastric,15,32,480,
